id	pop	species	morph	date	locality	lat	long	sex	embryos	loan
FN2431	SEAK	Myodes	Myodes sp.	6-Jul-23	"Indian Point, north of LeConte Bay"	56.756396	-132.52938	NA	FN2587	KU_2
FN2432	SEAK	Myodes	Myodes sp.	6-Jul-23	"Indian Point, north of LeConte Bay"	56.756396	-132.52938	NA	FN2587	KU_2
FN2433	SEAK	Myodes	Myodes sp.	6-Jul-23	"Indian Point, north of LeConte Bay"	56.756396	-132.52938	NA	FN2587	KU_2
FN2434	SEAK	Myodes	Myodes sp.	6-Jul-23	"Indian Point, north of LeConte Bay"	56.756396	-132.52938	NA	FN2587	KU_2
FN2435	SEAK	Myodes	Myodes sp.	6-Jul-23	"Indian Point, north of LeConte Bay"	56.756396	-132.52938	NA	FN2587	KU_2
FN2532	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"			female	no	KU_2
FN2533	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.752883	-132.52746	female	no	KU_2
FN2537	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.751693	-132.52859	male	NA	KU_2
FN2538	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.750893	-132.53056	male	NA	KU_2
FN2539	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.751371	-132.52967	female	no	KU_2
FN2541	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.756647	-132.5205	male	NA	KU_2
FN2542	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.750891	-132.53056	male	NA	KU_2
FN2543	SEAK	Myodes rutilus	rutilus	4-Jul-23	"Indian Point, north of LeConte Bay"	56.757227	-132.52886	female	no	KU_2
FN2549	SEAK	Myodes rutilus	rutilus	5-Jul-23	"Indian Point, north of LeConte Bay"	NA	NA	male	NA	KU_2
