id	pop	species	morph	date	locality	lat	long	sex	embryos	loan
UAM29988	SEAK	Myodes gapperi	gapperi	25-Jul-92	"Stikine River, Petersburg Quad, Alexander Archipelago, Farm Island"	56.63333333	-132.4166667	female	NA	UAM_2
UAM29989	SEAK	Myodes gapperi	gapperi	25-Jul-92	"Stikine River, Petersburg Quad, Alexander Archipelago, Farm Island"	56.63333333	-132.4166667	female	NA	UAM_2
UAM48870	SEAK	Myodes rutilus	rutilus	6-Aug-97	"Petersburg Quad, Alexander Archipelago"	56.96611111	-132.8166667	female	NA	UAM_2
UAM50483	SEAK	Myodes gapperi	gapperi	29-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM50489	SEAK	Myodes gapperi	gapperi	29-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM68455	SEAK	Myodes	Myodes sp.	4-Aug-97	"Petersburg Quad, Alexander Archipelago"	56.96611111	-132.8166667	male	NA	UAM_2
UAM68454	SEAK	Myodes	Myodes sp.	4-Aug-97	"Petersburg Quad, Alexander Archipelago"	56.96611111	-132.8166667	female	NA	UAM_2
UAM68459	SEAK	Myodes	Myodes sp.	5-Aug-97	"Petersburg Quad, Alexander Archipelago"	56.96611111	-132.8166667	male	NA	UAM_2
UAM68438	SEAK	Myodes	Myodes sp.	1-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	male	NA	UAM_2
UAM68442	SEAK	Myodes rutilus	rutilus	2-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	female	NA	UAM_2
UAM68437	SEAK	Myodes	Myodes sp.	1-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	male	NA	UAM_2
UAM68444	SEAK	Myodes	Myodes sp.	2-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	male	NA	UAM_2
UAM68445	SEAK	Myodes	Myodes sp.	2-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	male	NA	UAM_2
UAM68443	SEAK	Myodes	Myodes sp.	2-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	female	NA	UAM_2
UAM68446	SEAK	Myodes rutilus	rutilus	2-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	female	NA	UAM_2
UAM68452	SEAK	Myodes	Myodes sp.	3-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	female	NA	UAM_2
UAM68435	SEAK	Myodes	Myodes sp.	1-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	unknown	NA	UAM_2
UAM68436	SEAK	Myodes	Myodes sp.	1-Aug-97	"Jap Creek, Petersburg Quad, Alexander Archipelago"	56.77277778	-132.6075	unknown	NA	UAM_2
UAM100098	SEAK	Myodes gapperi	gapperi	23-Oct-02	"Thomas Bay small mammal transect, large forest, Petersburg Quad, Alexander Archipelago"	56.94101	-132.828	male	NA	UAM_2
UAM100102	SEAK	Myodes gapperi	gapperi	23-Oct-02	"Thomas Bay small mammal transect, large forest, Petersburg Quad, Alexander Archipelago"	56.94101	-132.828	female	NA	UAM_2
UAM100156	SEAK	Myodes gapperi	gapperi	24-Oct-02	"Thomas Bay small mammal transect, mixed forest, Petersburg Quad, Alexander Archipelago"	56.93003	-132.862	female	NA	UAM_2
UAM100160	SEAK	Myodes gapperi	gapperi	24-Oct-02	"Thomas Bay small mammal transect, mixed forest, Petersburg Quad, Alexander Archipelago"	56.93003	-132.862	male	NA	UAM_2
UAM100185	SEAK	Myodes gapperi	gapperi	24-Oct-02	"Thomas Bay small mammal transect, mixed forest, Petersburg Quad, Alexander Archipelago"	56.93003	-132.862	male	NA	UAM_2
UAM100187	SEAK	Myodes gapperi	gapperi	22-Oct-02	"Thomas Bay small mammal transect, riparian spruce, Petersburg Quad, Alexander Archipelago"	56.95053	-132.784	female	NA	UAM_2
UAM41893	BC	Myodes gapperi	gapperi	5-Aug-95	Iskut River Valley	57.13555556	-130.2863889	male	NA	UAM_2
UAM47614	BC	Myodes gapperi	gapperi	4-Aug-95	Iskut River Valley	57.13555556	-130.2863889	male	NA	UAM_2
UAM47615	BC	Myodes gapperi	gapperi	5-Aug-95	Iskut River Valley	57.13555556	-130.2863889	female	NA	UAM_2
UAM52520	BC	Myodes gapperi	gapperi	4-Aug-95	Iskut River Valley	57.13555556	-130.2863889	female	NA	UAM_2
UAM52534	BC	Myodes gapperi	gapperi	5-Aug-95	Iskut River Valley	57.13555556	-130.2863889	female	NA	UAM_2
UAM50299	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50300	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM50301	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50302	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50303	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM50304	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50305	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM50472	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50478	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50479	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50480	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50481	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM50482	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM50485	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50487	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50488	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
UAM50490	SEAK	Myodes gapperi	gapperi	31-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM50491	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM51018	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM51019	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	male	NA	UAM_2
UAM51020	SEAK	Myodes gapperi	gapperi	30-Jul-97	"Mallard Slough, Petersburg Quad, Alexander Archipelago"	56.71	-132.54	female	NA	UAM_2
